1,7/6/95,10:39:52, 98, 453
2,7/30/80,22:24:31, 82, 690
3,12/14/91,2:11:10, 48, 98
4,12/8/09,4:28:09, 46, 96
5,10/29/89,16:58:48, 67, 555
6,6/11/02,7:20:55, 47, 149
7,6/11/05,10:41:40, 85, 420
8,5/1/07,2:22:11, 54, 55
9,10/2/95,10:17:26, 69, 618
10,10/31/13,17:11:41, 7, 291
11,4/27/86,20:21:30, 96, 140
12,12/10/86,7:27:35, 71, 63
13,11/20/94,10:47:24, 25, 224
14,9/13/83,22:31:04, 27, 950
15,6/15/05,22:11:50, 29, 905
16,7/18/94,9:26:49, 100, 537
17,2/14/85,15:13:47, 47, 902
18,5/15/00,21:32:30, 7, 927
19,12/1/86,10:38:05, 39, 506
20,7/21/94,9:55:23, 99, 790
21,2/5/93,1:28:46, 7, 76
22,10/8/02,2:22:30, 91, 485
23,6/22/89,1:43:34, 64, 886
24,10/14/09,14:51:28, 32, 338
25,7/26/87,8:34:27, 23, 140
26,7/15/06,20:49:36, 77, 575
27,12/3/91,19:51:14, 31, 390
28,6/10/08,1:34:18, 81, 845
29,8/26/95,9:14:43, 32, 872
30,3/24/90,22:10:31, 42, 76
31,1/15/11,0:08:26, 93, 376
32,7/11/04,14:19:35, 5, 823
33,1/23/02,23:24:07, 50, 697
34,5/28/92,10:47:05, 30, 815
35,8/2/83,9:35:43, 16, 703
36,8/20/99,21:02:02, 97, 326
37,3/29/96,18:59:53, 54, 77
38,11/5/02,8:22:59, 10, 468
39,11/21/13,13:47:54, 34, 433
40,3/5/81,18:47:58, 55, 349
41,10/16/86,18:39:30, 42, 488
42,10/25/94,2:08:43, 37, 741
43,9/15/02,10:05:17, 21, 80
44,10/22/01,5:14:17, 63, 648
45,12/3/90,17:38:34, 39, 561
46,2/1/94,1:45:48, 60, 929
47,7/9/83,0:58:51, 84, 670
48,9/11/04,19:16:54, 88, 86
49,3/29/11,13:24:39, 69, 138
50,8/8/08,1:07:19, 91, 904
51,7/8/97,2:26:06, 97, 771
52,12/18/05,17:23:08, 93, 667
53,5/19/80,8:18:15, 63, 660
54,11/5/81,20:02:12, 18, 953
55,10/20/85,13:07:58, 33, 909
56,10/30/11,14:33:45, 92, 857
57,6/2/09,19:02:15, 74, 69
58,6/24/80,3:02:50, 97, 462
59,9/23/80,9:25:49, 96, 298
60,6/11/02,14:14:42, 55, 195
61,7/9/90,4:30:19, 86, 545
62,7/8/03,10:58:07, 86, 324
63,7/11/88,6:38:05, 70, 77
64,6/7/97,0:08:05, 61, 858
65,11/21/82,11:41:35, 19, 106
66,5/31/85,5:41:42, 30, 713
67,12/2/98,7:16:34, 46, 644
68,1/12/02,2:39:14, 1, 393
69,9/19/99,8:15:19, 72, 61
70,7/9/00,20:32:51, 71, 175
71,4/12/88,9:09:31, 78, 20
72,4/18/82,23:39:11, 84, 895
73,11/7/87,10:17:24, 92, 53
74,5/20/99,17:42:42, 67, 805
75,12/1/03,3:22:47, 15, 213
76,5/28/81,21:50:41, 83, 383
77,3/22/90,6:33:04, 68, 213
78,7/17/98,1:55:31, 92, 256
79,10/15/81,6:45:37, 22, 498
80,9/24/85,23:30:17, 8, 708
81,3/20/80,3:03:04, 44, 631
82,12/31/06,13:53:47, 57, 262
83,3/6/12,15:59:09, 23, 156
84,1/6/11,10:20:30, 57, 25
85,3/1/90,9:21:45, 95, 738
86,9/27/85,5:24:19, 56, 362
87,2/26/01,11:27:06, 9, 40
88,8/26/07,21:09:27, 84, 478
89,6/22/95,3:20:49, 82, 368
90,1/10/08,15:27:58, 87, 246
91,6/10/86,12:06:13, 25, 737
92,8/23/86,19:54:15, 34, 169
93,9/7/89,9:13:50, 68, 244
94,4/23/87,7:09:33, 92, 756
95,7/23/93,18:12:31, 62, 861
96,10/17/90,1:38:21, 86, 749
97,8/28/07,19:20:16, 47, 404
98,4/27/85,2:31:04, 14, 681
99,11/28/99,3:09:56, 83, 904
100,2/1/00,18:11:44, 86, 253
101,12/15/12,21:02:23, 92, 331
102,2/10/03,18:53:36, 78, 494
103,10/25/82,19:13:14, 55, 664
104,5/4/82,5:23:30, 77, 191
105,7/30/10,9:28:10, 38, 853
106,12/2/99,14:58:09, 46, 512
107,8/23/96,18:26:20, 52, 655
108,9/6/11,9:12:41, 91, 367
109,12/23/01,13:33:22, 11, 325
110,1/16/90,1:49:45, 2, 54
111,10/29/85,11:33:36, 23, 367
112,11/16/03,5:15:36, 53, 156
113,10/30/01,13:51:39, 38, 190
114,11/27/09,7:58:16, 66, 930
115,5/11/91,19:21:14, 4, 281
116,9/28/06,1:16:45, 19, 548
117,6/7/83,13:54:33, 45, 759
118,8/19/08,3:25:15, 68, 184
119,1/15/92,7:07:18, 6, 147
120,6/17/02,14:43:04, 60, 280
121,11/25/83,14:44:04, 62, 481
122,10/13/13,13:01:21, 91, 1
123,11/6/86,11:26:42, 69, 774
124,8/6/94,7:21:43, 78, 373
125,12/10/90,12:12:54, 47, 94
126,7/9/05,1:22:35, 81, 807
127,11/29/12,11:27:28, 84, 52
128,8/22/87,9:17:47, 68, 591
129,9/13/96,10:34:02, 12, 742
130,2/24/84,19:46:00, 47, 489
131,11/25/12,14:27:21, 45, 753
132,2/19/97,3:33:16, 32, 400
133,7/24/84,17:23:01, 49, 875
134,10/25/96,17:24:46, 71, 117
135,8/30/96,23:41:26, 66, 175
136,1/16/89,4:34:30, 56, 178
137,9/1/04,4:24:18, 50, 352
138,6/10/97,21:11:39, 85, 952
139,9/20/00,1:48:53, 54, 916
140,8/23/84,16:51:45, 43, 426
141,1/9/95,19:31:22, 27, 449
142,3/3/11,20:23:10, 84, 722
143,10/28/11,9:05:37, 39, 217
144,9/24/10,11:43:55, 45, 667
145,10/15/03,0:40:05, 2, 431
146,8/20/86,19:42:55, 36, 583
147,6/9/04,8:22:18, 32, 683
148,6/26/95,1:00:38, 96, 782
149,12/13/01,6:07:24, 17, 3
150,7/15/97,6:28:38, 42, 611
151,9/11/93,18:39:16, 77, 732
152,5/10/98,15:37:35, 35, 619
153,5/3/00,22:59:10, 89, 998
154,2/26/05,20:49:25, 42, 494
155,11/12/85,8:19:39, 90, 741
156,10/24/06,4:39:58, 10, 806
157,9/24/95,15:28:55, 38, 907
158,1/7/99,5:25:41, 1, 526
159,7/29/81,14:10:49, 84, 186
160,11/15/11,17:24:26, 10, 423
161,3/2/10,23:37:20, 10, 186
162,1/27/11,9:20:02, 98, 56
163,6/5/93,14:21:14, 84, 476
164,7/18/82,7:34:47, 91, 675
165,8/15/05,11:49:57, 90, 800
166,8/10/82,6:01:28, 12, 471
167,2/26/89,22:48:45, 47, 105
168,2/3/80,7:34:51, 54, 353
169,3/1/91,19:41:56, 91, 436
170,9/21/97,21:57:00, 67, 658
171,12/10/83,13:09:09, 18, 690
172,12/25/84,1:58:39, 58, 845
173,3/3/02,23:30:14, 47, 759
174,12/19/03,5:14:17, 92, 878
175,3/17/13,21:30:30, 89, 419
176,5/7/00,3:04:43, 18, 316
177,10/31/03,10:51:54, 43, 319
178,5/11/13,17:31:47, 8, 330
179,7/6/84,4:58:00, 44, 302
180,3/14/12,9:50:20, 56, 923
181,2/22/02,11:11:06, 71, 770
182,10/8/12,10:10:43, 95, 972
183,4/13/08,18:48:16, 54, 867
184,1/8/83,20:18:28, 100, 101
185,10/10/90,0:25:14, 8, 210
186,2/18/07,17:46:24, 69, 230
187,7/5/00,20:56:19, 42, 474
188,2/12/92,13:24:58, 16, 729
189,12/3/90,1:46:29, 31, 910
190,12/3/05,11:56:18, 58, 352
191,7/10/97,4:17:39, 80, 993
192,1/27/95,16:22:11, 77, 825
193,3/24/02,8:39:48, 49, 985
194,10/7/08,17:10:22, 75, 314
195,12/6/91,9:50:43, 79, 901
196,1/8/08,8:36:45, 75, 524
197,8/28/94,17:56:08, 72, 486
198,3/4/88,3:57:44, 25, 900
199,7/5/87,11:45:15, 35, 121
200,2/29/00,22:15:10, 15, 889
201,5/30/05,1:03:00, 83, 812
202,5/12/84,18:09:30, 22, 963
203,6/13/13,22:08:58, 87, 597
204,11/18/87,1:04:23, 75, 764
205,12/22/95,20:31:51, 5, 689
206,6/15/06,1:34:51, 31, 190
207,3/2/07,11:21:58, 6, 825
208,12/19/13,23:39:26, 34, 497
209,11/3/10,13:35:07, 32, 204
210,6/19/00,9:36:33, 71, 760
211,10/30/00,2:29:20, 3, 290
212,9/5/92,16:44:18, 50, 487
213,2/15/82,13:42:24, 49, 255
214,5/11/95,0:00:21, 13, 727
215,4/12/03,11:50:37, 77, 334
216,7/10/84,1:18:26, 57, 597
217,12/18/04,4:22:02, 82, 623
218,4/30/88,19:32:32, 13, 574
219,7/1/94,4:51:52, 74, 856
220,12/30/84,12:37:16, 32, 929
221,7/19/02,8:33:59, 26, 549
222,8/27/09,4:32:53, 77, 899
223,12/21/10,0:22:01, 20, 399
224,1/24/80,3:32:43, 59, 655
225,1/15/86,9:25:47, 14, 640
226,3/29/02,23:18:10, 13, 239
227,5/8/98,15:31:32, 17, 503
228,4/9/87,21:33:05, 49, 144
229,12/4/88,15:13:55, 3, 78
230,10/14/92,15:41:44, 6, 696
231,5/31/02,3:49:23, 22, 463
232,3/28/80,19:54:43, 48, 66
233,11/5/81,3:22:23, 66, 838
234,1/1/03,3:32:55, 54, 533
235,6/11/89,23:38:30, 44, 214
236,7/21/82,1:42:45, 53, 900
237,6/20/92,13:32:42, 51, 860
238,12/17/95,14:46:49, 98, 477
239,9/13/98,0:41:08, 6, 21
240,10/24/07,13:00:58, 13, 22
241,3/10/92,10:18:03, 74, 771
242,3/16/05,21:03:35, 50, 299
243,12/23/06,6:23:01, 64, 410
244,5/7/93,12:07:28, 9, 426
245,9/11/91,5:48:53, 74, 815
246,2/8/03,8:42:32, 49, 174
247,3/18/03,13:16:03, 47, 434
248,2/2/04,13:16:48, 18, 40
249,2/24/86,7:00:28, 92, 884
250,8/11/86,11:36:36, 73, 647
251,12/29/84,1:28:41, 54, 17
252,12/29/07,12:18:55, 94, 979
253,8/4/07,8:55:14, 48, 18
254,1/25/06,11:43:43, 46, 391
255,7/16/03,5:48:49, 32, 813
256,2/14/89,15:59:29, 2, 13
257,5/26/96,14:48:27, 21, 52
258,12/25/99,6:50:07, 37, 379
259,3/22/91,8:53:44, 27, 984
260,11/13/86,16:07:40, 18, 329
261,5/9/10,18:42:54, 91, 308
262,4/9/08,8:09:13, 76, 423
263,10/4/00,3:48:16, 71, 411
264,5/16/95,1:47:44, 54, 99
265,6/10/99,0:33:00, 30, 16
266,12/15/80,22:07:15, 33, 847
267,8/10/91,3:05:04, 85, 282
268,1/16/84,1:28:30, 93, 442
269,10/14/82,2:52:55, 91, 173
270,6/19/88,2:01:45, 78, 759
271,10/14/96,18:36:58, 10, 260
272,7/29/95,13:28:22, 70, 988
273,4/16/85,17:35:31, 62, 618
274,4/8/88,6:37:40, 84, 591
275,7/25/81,22:09:23, 29, 394
276,5/4/80,6:36:08, 63, 82
277,12/24/81,7:58:53, 44, 530
278,11/1/94,17:05:08, 26, 909
279,10/14/13,8:25:44, 43, 965
280,6/23/08,7:11:08, 5, 598
281,2/11/13,16:33:11, 78, 548
282,7/7/07,6:42:51, 5, 347
283,5/22/84,11:01:17, 9, 439
284,8/22/05,2:00:27, 52, 667
285,9/30/88,3:22:05, 81, 282
286,11/22/90,11:17:49, 40, 463
287,11/26/11,0:28:56, 91, 966
288,5/19/13,16:57:00, 65, 765
289,11/9/82,12:42:12, 60, 255
290,9/6/95,0:54:06, 46, 278
291,3/17/83,6:49:09, 33, 319
292,10/20/12,10:13:22, 63, 475
