1,5/22/11,11:00:44
2,7/2/10,4:52:41
3,11/25/05,13:27:49
4,7/11/10,16:43:18
5,6/10/01,4:20:51
6,6/10/13,12:47:36
7,8/24/83,8:26:32
8,1/23/04,23:52:00
9,3/10/96,14:51:36
10,11/8/96,23:31:39
11,12/13/84,10:54:03
12,3/11/83,18:22:19
13,7/8/13,7:56:48
14,10/25/05,8:26:03
15,6/13/04,6:40:42
16,5/19/94,9:01:32
17,7/22/08,5:35:36
18,2/1/96,19:48:01
19,3/21/07,7:24:35
20,1/7/83,6:08:38
21,3/27/12,17:40:00
22,12/29/02,1:58:22
23,12/23/04,0:45:47
24,5/7/00,12:32:38
25,8/29/86,10:44:06
26,8/30/92,2:20:22
27,3/25/08,15:40:48
28,10/10/81,10:26:49
29,7/26/01,1:01:46
30,9/17/94,11:24:08
31,2/25/11,1:09:39
32,1/14/88,19:13:35
33,6/13/12,19:12:30
34,6/6/87,15:15:34
35,5/18/92,18:27:50
36,12/13/01,13:27:54
37,8/29/01,1:26:20
38,7/1/00,10:04:13
39,6/29/80,13:00:26
40,4/24/86,3:46:27
41,6/28/89,17:09:50
42,1/17/03,21:57:33
43,1/25/80,0:43:42
44,7/25/05,2:06:02
45,6/11/89,20:33:00
46,1/12/11,6:21:23
47,8/10/86,23:13:44
48,5/22/91,0:09:03
49,10/29/94,8:06:56
50,5/29/00,19:33:52
51,9/16/97,9:30:06
52,4/1/13,13:16:33
53,6/30/83,10:25:20
54,3/8/86,20:46:04
55,5/27/03,15:03:19
56,4/16/00,1:23:14
57,11/15/10,16:04:08
58,12/21/01,10:57:10
59,7/14/01,21:29:27
60,10/12/98,14:04:33
61,7/5/02,14:03:17
62,11/3/82,2:14:00
63,2/22/93,3:30:28
64,11/24/83,12:19:09
65,6/4/83,12:57:43
66,1/13/90,18:03:58
67,3/8/05,16:54:10
68,2/12/87,13:16:49
69,8/2/97,6:49:08
70,2/17/81,19:01:06
71,11/20/06,8:52:33
72,11/23/10,6:03:53
73,9/11/81,0:34:21
74,2/12/09,8:11:53
75,11/10/89,13:07:11
76,3/23/10,7:33:29
77,11/23/89,16:27:04
78,4/16/06,23:37:33
79,12/1/90,2:00:05
80,4/26/84,18:40:51
81,4/16/91,7:10:46
82,8/24/07,15:01:22
83,11/23/04,18:45:08
84,1/11/90,0:00:51
85,1/30/05,2:54:32
86,6/28/94,20:07:39
87,11/16/01,11:57:38
88,8/26/02,4:01:31
89,10/17/89,22:10:26
90,3/21/93,21:20:02
91,6/6/06,10:01:17
92,12/1/95,0:53:40
93,12/15/06,10:27:28
94,10/17/04,19:54:00
95,4/29/00,9:46:59
96,5/22/06,4:05:22
97,1/28/82,19:48:20
98,5/30/09,20:11:28
99,1/7/01,3:20:03
100,5/19/84,2:39:28
101,11/6/94,4:47:42
102,7/29/97,18:12:18
103,1/23/84,11:31:26
104,8/12/13,1:26:45
105,2/18/06,21:02:12
106,12/16/84,3:35:51
107,10/28/96,14:17:47
108,7/1/84,20:48:52
109,12/23/03,17:07:10
110,6/7/93,19:24:02
111,4/26/13,20:38:52
112,5/15/92,17:19:54
113,7/23/02,5:14:45
114,2/19/12,21:11:30
115,4/4/95,18:13:27
116,1/1/90,21:10:58
117,4/27/98,19:30:14
118,7/26/93,5:20:12
119,7/18/02,15:06:16
120,5/27/08,22:58:44
121,4/2/84,18:47:23
122,12/8/01,21:20:26
123,12/26/03,7:53:55
124,5/6/04,13:58:32
125,12/13/07,16:15:06
126,8/1/10,17:49:48
127,7/8/02,0:49:01
128,6/25/87,9:14:11
129,5/17/06,21:54:58
130,12/24/85,9:21:48
131,7/6/91,5:22:38
132,1/16/90,3:17:18
133,4/2/80,12:32:16
134,3/30/83,2:52:16
135,6/7/82,17:54:01
136,6/19/89,12:23:34
137,8/3/00,1:05:40
138,6/30/84,16:26:51
139,9/4/03,13:00:29
140,8/21/85,3:57:43
141,11/14/86,16:32:26
142,9/12/09,10:42:25
143,10/8/00,10:32:32
144,4/5/05,6:43:36
145,1/19/80,14:33:53
146,7/16/02,18:26:58
147,11/1/84,19:34:40
148,9/16/04,10:11:12
149,2/2/82,3:38:20
150,12/11/09,18:17:54
151,7/10/88,18:32:35
152,6/28/10,13:16:47
153,2/10/96,9:33:11
154,6/2/91,7:08:16
155,6/15/02,20:20:42
156,3/17/93,15:18:42
157,2/18/82,16:14:41
158,7/1/80,7:14:06
159,8/7/04,3:30:31
160,3/19/90,15:33:05
161,5/18/99,20:16:56
162,10/30/01,21:31:13
163,7/1/82,8:24:32
164,6/7/08,5:33:26
165,2/18/88,12:35:05
166,9/13/09,12:18:09
167,7/25/98,16:30:00
168,8/23/05,20:55:29
169,7/28/93,18:04:12
170,3/7/95,4:08:43
171,12/16/03,7:44:01
172,1/24/87,3:43:16
173,11/14/02,7:55:08
174,12/25/95,3:30:53
175,5/23/82,15:46:57
176,10/22/02,14:20:51
177,3/11/99,18:26:49
178,11/19/07,17:27:14
179,9/27/10,21:38:55
180,3/13/11,19:06:22
181,7/29/96,6:11:44
182,11/24/97,14:57:08
183,10/2/86,1:54:22
184,12/30/94,3:55:52
185,7/18/06,5:24:25
186,11/28/11,0:21:14
187,3/28/13,7:32:00
188,6/24/90,19:52:29
189,8/19/11,22:50:12
190,8/4/88,21:40:50
191,6/24/93,8:05:15
192,5/1/84,13:58:31
193,5/28/13,4:13:23
194,5/15/12,23:27:45
195,7/14/85,5:44:36
196,8/2/07,7:39:36
197,10/6/83,3:32:51
198,11/18/85,14:07:13
199,2/14/92,21:03:03
200,11/16/93,15:30:10
201,9/21/90,0:17:09
202,2/5/02,13:42:10
203,6/10/95,4:34:58
204,6/22/96,1:56:49
205,9/14/06,0:05:05
206,11/4/13,5:12:19
207,5/28/89,23:48:06
208,9/26/05,0:17:43
209,6/29/88,20:48:38
210,4/8/80,12:37:23
211,4/8/02,17:33:54
212,1/12/93,20:02:53
213,8/30/00,8:54:49
214,10/6/91,19:44:59
215,1/19/82,2:08:50
216,1/22/09,10:41:23
217,4/17/93,10:01:23
218,10/24/99,19:05:24
219,7/8/94,15:13:31
220,5/18/95,22:29:28
221,12/18/00,5:54:17
222,5/16/84,11:45:37
223,10/20/10,9:27:21
224,1/3/05,1:37:38
225,8/14/92,4:16:51
226,9/24/85,1:19:12
227,11/22/82,12:28:26
228,10/20/09,11:01:53
229,2/7/08,3:57:35
230,5/21/86,1:34:50
231,1/6/00,8:31:39
232,9/18/80,12:51:51
233,2/4/95,2:39:47
234,10/16/94,4:12:29
235,7/13/86,22:04:29
236,6/15/81,19:21:05
237,11/2/09,7:09:26
238,12/26/93,8:28:22
239,10/6/94,21:18:58
240,4/2/11,21:19:26
241,5/14/01,10:25:03
242,6/12/12,15:22:51
243,10/18/93,4:47:00
244,4/9/01,4:28:59
245,10/16/04,17:35:00
246,2/1/83,17:17:48
247,7/18/80,1:49:13
248,6/7/99,9:35:48
249,7/19/83,12:26:05
250,3/16/08,10:55:38
251,1/26/00,8:00:07
252,11/26/85,20:54:53
253,7/5/06,3:01:03
